City,Latitude,Lng,Max Temperature,Humidity,Cloudiness,Wind Speed,Country,Date
Aasiaat,68.7098,-52.8699,28.36,83,100,2.44,GL,1619742918
Abéché,13.8292,20.8324,80.26,9,20,6.73,TD,1619742919
Abhā,18.2164,42.5053,60.8,77,40,6.53,SA,1619742919
Abnūb,27.2696,31.1511,73.4,33,0,4.61,EG,1619742919
Abu Kamal,34.4506,40.9171,77.31,32,0,10.0,SY,1619742681
Acapulco de Juárez,16.8634,-99.8901,82.4,78,75,9.22,MX,1619742702
Ahipara,-35.1667,173.1667,65.41,61,2,6.13,NZ,1619742920
‘Āhuimanu,21.4447,-157.8378,82.4,61,75,10.36,US,1619742682
Aklavik,68.2191,-135.0107,41.0,38,42,4.61,CA,1619742921
Akola,20.7333,77.0,86.83,28,13,11.61,IN,1619742921
Aksarka,66.5606,67.7975,22.69,96,100,7.7,RU,1619742794
Aksha,50.2814,113.2867,36.54,63,100,9.86,RU,1619742922
Aktanysh,55.7216,54.0829,35.58,84,43,6.64,RU,1619742733
Albany,42.6001,-73.9662,55.99,90,100,1.01,US,1619742922
Alice Springs,-23.7,133.8833,66.2,30,0,4.61,AU,1619742923
Alizai,33.5383,70.3462,71.22,43,99,3.87,PK,1619742923
Along,28.1667,94.7667,77.95,40,7,1.63,IN,1619742924
Alta Gracia,-31.6529,-64.4283,64.99,72,0,12.66,AR,1619742924
Altamirano,16.8833,-92.15,64.42,80,100,3.89,MX,1619742924
Amahai,-3.3333,128.9167,84.09,69,81,2.21,ID,1619742925
Amapá,1.0,-52.0,71.02,97,97,1.81,BR,1619742925
Ambilobe,-13.2,49.05,72.09,91,29,2.82,MG,1619742926
Ambo,-10.1308,-76.2047,60.62,88,96,3.87,PE,1619742926
Ambulu,-8.345,113.6058,80.8,77,7,2.77,ID,1619742927
Ancud,-41.8697,-73.8203,57.0,88,75,16.11,CL,1619742846
Antofagasta,-23.65,-70.4,62.6,77,0,9.22,CL,1619742732
Antsohihy,-14.8796,47.9875,72.91,82,19,6.08,MG,1619742690
Apatin,45.6711,18.9847,53.6,94,0,4.61,RS,1619742669
Aquiraz,-3.9014,-38.3911,80.6,78,40,3.44,BR,1619742928
Araouane,18.9048,-3.5265,92.55,17,97,9.31,ML,1619742775
Ardrishaig,56.0157,-5.4481,39.2,93,84,2.3,GB,1619742929
Arman',59.7,150.1667,38.93,67,77,0.29,RU,1619742732
Arraial do Cabo,-22.9661,-42.0278,71.6,88,40,6.91,BR,1619742930
Asău,46.4333,26.4,50.0,62,27,5.32,RO,1619742930
Safi,32.2994,-9.2372,61.43,70,78,2.73,MA,1619742852
Aswān,24.0934,32.907,83.79,13,1,9.08,EG,1619742931
At-Bashi,41.1702,75.8106,52.02,36,0,3.18,KG,1619742931
Atar,20.5169,-13.0499,79.38,37,100,6.24,MR,1619742931
Atasū,48.6814,71.6433,52.14,62,100,12.82,KZ,1619742695
Atbasar,51.8,68.3333,42.26,63,79,6.62,KZ,1619742932
Athens,37.9795,23.7162,66.0,82,0,1.83,GR,1619742801
Atuona,-9.8,-139.0333,79.54,68,5,4.41,PF,1619742696
Aurangabad,19.8833,75.3333,78.8,50,40,8.59,IN,1619742933
Avarua,-21.2078,-159.775,82.4,83,75,10.36,CK,1619742697
Avera,33.194,-82.5271,75.99,65,100,8.14,US,1619742935
